date,location,news,killed,arrested,Injured,type,year,date2
June-17,nawabshah,smashed,0,1,0,0,2016,6_22_2016
June-17,islamabad,corruption,0,3,0,0,2016,6_19_2016
June-17,peshawar,fraudsters_,0,1,0,0,2016,6_19_2016
June-17,liaqatabad,suspects,0,12,0,0,2016,6_18_2016
June-17,peshawar,most_wanted_terrorist_arrested,0,1,0,0,2016,6_18_2016
June-17,karachi,kllers,0,2,0,0,2016,6_18_2016
June-17,karachi,kcm_eduction_fraud,0,1,0,0,2016,6_18_2016
June-17,islamabad,corruption,0,2,0,0,2016,6_18_2016
June-17,karachi,crackdown,0,87,0,0,2016,6_17_2016
June-17,karachi,prostituion_ring_,0,10,0,0,2016,6_17_2016
June-17,karachi,suspects,0,17,0,0,2016,6_16_2016
June-17,hangu,proclaimed_offenders,0,25,0,0,2016,6_16_2016
June-17,kohat,illegal_nationality,0,2,0,0,2016,6_16_2016
June-17,rawalpindi,bribes,0,2,0,0,2016,6_16_2016
July-17,charsadda,terrorist,0,2,0,0,2016,7_6_2016
June-17,quetta,terrorist,0,2,0,0,2016,6_29_2016
June-17,lakki_raid,militant,0,3,0,0,2016,6_22_2016
September-17,rawalpindi,smuggler,0,1,0,0,0,9_1_2016
September-17,islamabad,for_illegal_haj_operator,0,1,0,0,0,9_1_2016
September-17,islamabad,curruption_,0,7,0,0,0,9_2_2016
September-17,lahore,smuggling_human,0,1,0,0,0,9_3_2016
September-17,murree,illegal_promotion_,0,2,0,0,0,9_3_2016
September-17,islamabad,smuggling_human,0,7,0,0,0,9_7_2016
September-17,gujrawala,smuggling_human,0,1,0,0,0,9_8_2016
September-17,karachi,illegal_issue_cnic_,0,2,0,0,0,9_9_2016
September-17,rawalpindi,fake_isnpector,0,1,0,0,0,9_9_2016
September-17,islamabad,ployclinic_corruption_case,0,5,0,0,0,9_10_2016
September-17,mansahra,deport_from_UK,0,1,0,0,0,9_11_2016
September-17,islamabad,issue_illegal_cnic,0,18,0,0,0,9_11_2016
September-17,gujrawala,sumuggling_human,0,5,0,0,0,9_17_2016
September-17,islamabad,illegal_cnic,0,2,0,0,0,9_18_2016
September-17,rawalpindi,deport_from_muskat,0,25,0,0,0,9_21_2016
September-17,sheikhupura,illegal_telephone_exchange,0,1,0,0,0,9_22_2016
September-17,islamabad,polyclinic_curruption_case,0,8,0,0,0,9_23_2016
September-17,islamabad,smuggling_human,0,5,0,0,0,9_24_2016
September-17,lahore,philpine_person_depoted_from_pakistan_,0,1,0,0,0,9_25_2016
September-17,islamabad,polyclinic_curruption_case,0,2,0,0,0,9_25_2016
September-17,karachi,blacmailing_a_girl,0,1,0,0,0,9_26_2016
September-17,rawalpindi,going_illegally_foreign_country,0,3,0,0,0,9_27_2016
September-17,rawalpindi,deport_,0,3,0,0,0,9_27_2016
September-17,islamabad,irregular_appointments,0,2,0,0,0,9_28_2016
September-17,lahore,smuggling_human,0,8,0,0,0,9_29_2016
September-17,rawalpindi,deport_from_unan,0,51,0,0,0,9_30_2016
October-17,rawalpindi,fake_visa_of_africa_,0,1,0,0,0,10_2_2016
October-17,islamabad,fake_visas_of_uk,0,1,0,0,0,10_5_2016
October-17,rawalpindi,murder_case_deport_from_dubai,0,2,0,0,0,10_6_2016
October-17,rawalpindi,deport_from_behrain,0,20,0,0,0,10_7_2016
October-17,karachi,harassment_case_,0,1,0,0,0,10_8_2016
October-17,islamabad,fake_documents__of_uk,0,3,0,0,0,10_9_2016
October-17,islamabad,curruption_in_developing_proejcts,0,1,0,0,0,10_10_2016
October-17,rawalpindi,family_hospital_fine,0,15,0,0,0,10_10_2016
October-17,islamabad,frausters,0,2,0,0,0,10_11_2016
October-17,sahiwal,blacmailing_,0,1,0,0,0,10_11_2016
October-17,rawalpindi,illegal_going_to_dubai,0,1,0,0,0,10_12_2016
October-17,islamabad,blackmailing,0,1,0,0,0,10_12_2016
October-17,rawalpindi,fake_visa_of_dubai,0,1,0,0,0,10_14_2016
October-17,islamabad,smuggling_human,0,15,0,0,0,10_17_2016
November-17,haripur,stealing_gas,0,1,0,0,0,11_3_2016
November-17,islamabad,against_nadra_embezzlement_charges,0,1,0,0,0,11_4_2016
November-17,rawalpindi,for_illegal_docuements,0,1,0,0,0,11_4_2016
November-17,islamabad,for_transferring_offical_documents,0,1,0,0,0,11_5_2016
November-17,islamabad,for_transferring_offical_documents,0,1,0,0,0,11_6_2016
November-17,rawalpindi,fake_passport_,0,1,0,0,0,11_7_2016
August-17,rawalpindi,wanted_arrested_smuggler,0,3,0,0,0,8_31_2016
August-17,islamabad,smuggle_child_parts_,0,2,0,0,0,8_31_2016
August-17,rawalpindi,illegal_going_to_foreign_country,0,1,0,0,0,8_30_2016
August-17,islamabad,corruption_in_zari_bank,0,9,0,0,0,8_30_2016
August-17,islamabad,for_higher_price_of_gas,0,1,0,0,0,8_30_2016
August-17,islamabad,human_body_parts_smuggle,0,1,0,0,0,8_29_2016
August-17,islamabad,murder,0,1,0,0,0,8_29_2016
August-17,lahore,human_trafficker,0,1,0,0,0,8_28_2016
August-17,gujrawala,fake_inspector,0,1,0,0,0,8_27_2016
August-17,rawalpindi,raid_on_fack_passport_office,0,1,0,0,0,8_27_2016
August-17,lahore,human_body_parts_smuggle,0,100,0,0,0,8_26_2016
August-17,lahore,illegal_communication_office,0,11,0,0,0,8_25_2016
August-17,lahore,corruption_in_pension,0,9,0,0,0,8_24_2016
August-17,lahore,coruption_in_pension_zari_bank,0,9,0,0,0,8_23_2016
August-17,rawalpindi,wanted_afgan_arrested_,0,1,0,0,0,8_21_2016
August-17,rawalpindi,human_smuggling,0,2,0,0,0,8_21_2016
August-17,islamabad,blacklist_man_,0,1,0,0,0,8_20_2016
August-17,karachi,tedup_scandle,0,1,0,0,0,8_19_2016
August-17,islamabad,us_deportion_,0,1,0,0,0,8_18_2016
August-17,islamabad,umer_farooq_murdur_case,0,1,0,0,0,8_17_2016
August-17,faisalabad,fraud_case,0,1,0,0,0,8_16_2016
August-17,rawalpindi,selling_false_hops,0,4,0,0,0,8_13_2016
August-17,islamabad,arrested_american_citizen_,0,1,0,0,0,8_11_2016
August-17,rawalpindi,for_having_more_than_one_id,0,1,0,0,0,8_11_2016
August-17,rawalpindi,deport_from_sudia_arab,0,85,0,0,0,8_10_2016
August-17,islamabad,cyber_crime,0,2,0,0,0,8_9_2016
August-17,lahore,human_smuggling,0,100,0,0,0,8_8_2016
August-17,lahore,for_selling_offical_document,0,1,0,0,0,8_8_2016
August-17,islamabad,fake_media_person,0,4,0,0,0,8_8_2016
August-17,islamabad,fraud_for_job,0,1,0,0,0,8_7_2016
August-17,islamabad,fack_reporter,0,4,0,0,0,8_7_2016
August-17,rawalpindi,without_visa_foreigner,0,1,0,0,0,8_7_2016
August-17,islamabad,bribe_issue,0,1,0,0,0,8_6_2016
August-17,islamabad,blackmailing,0,1,0,0,0,8_5_2016
August-17,islamabad,mumbai_attack_murderer,0,1,0,0,0,8_5_2016
August-17,islamabad,fake_media_team,0,6,0,0,0,8_8_2016
August-17,islamabad,fake_travel_agency,0,4,0,0,0,8_2_2016
July-17,islamabad,Layout_voilation_in_housing_society,0,1,0,0,0,7_31_2016
July-17,islamabad,fake_travel_agency,0,1,0,0,0,7_29_2016
July-17,islamabad,for_taking_bribe,0,1,0,0,0,7_28_2016
July-17,rawalpindi,illegal_resident_in_sipres,0,12,0,0,0,7_27_2016
July-17,islamabad,human_smuggling,0,1,0,0,0,7_24_2016
July-17,peshawar,blackmailing_through_social_media,0,1,0,0,0,7_23_2016
July-17,peshawar,watsapp_blackmailing,0,1,0,0,0,7_22_2016
July-17,rawalpindi,deport_from_uk,0,41,0,0,0,7_21_2016
July-17,islamabad,human_trafficker,0,2,0,0,0,7_19_2016
July-17,islamabad,human_body_parts_smuggle,0,5,0,0,0,7_19_2016
July-17,rawalpindi,incomplete_documents,0,16,0,0,0,7_19_2016
July-17,faisalabad,benazir_murdur_case,0,1,0,0,0,7_18_2016
July-17,gujrat,tampering_documents,0,2,0,0,0,7_16_2016
July-17,islamabad,bank_fraud,0,10,0,0,0,7_14_2016
July-17,lahore,blackmailing_exwife,0,1,0,0,0,7_10_2016
July-17,karachi,chinees_cyber_criminal_,0,1,0,0,0,7_6_2016
July-17,lahore,fake_travel_agency,0,1,0,0,0,7_3_2016
August-17,KP,"An Afghan cleric Naseem Khan, a resident of Lond Khwar, was killed inside Abu Hanifia Mosque in Ibrahimabad within the jurisdiction of Khazana Police Station in Mardan District.",1,0,0,secretarian shia attack,2016,8_1_2016
July-17,Sindh,"Unidentified assailants shot dead a lawyer of the Sindh High Court, identified as Wakeel Sahib Khan, in Agra area of Khairpur District in Sindh. The assailants managed to flee from the scene after committing the murder.",1,0,0,Lawyers,2015,7_1_2015
August-17,Sindh,"A lawyer, identified as Ashfaq Qaimkhani, while his friend Rifaat Zaidi was injured when unidentified armed assailants opened fire on his car near Mian University Road in Gulshan Town of Karachi in Sindh.",1,0,0,Lawyers,2015,8_1_2015
September-17,Khyber Agency,Two tribal elders and a prayer leader were killed in Akkakhel area of Khyber Agency in FATA.,2,0,0,Tribal Area Attack,2011,9_13_2011
October-17,Khyber Agency,An oil tanker carrying fuel to NATO forces in Afghanistan was partially damaged when a time device fitted in it exploded near Ali Masjid area.,0,0,0,Nato Attack,2011,10_1_2011
May-17,Khyber Agency,"An oil tanker, carrying fuel for the US led NATO forces stationed in Afghanistan, was blown up in a bomb blast near Ali Masjid of Khyber Agency in FATA.",0,0,0,Nato Attack,2011,5_1_2011
September-17,Khyber Agency,Khasadars Force defused a bomb planted in a NATO tanker in Ali Masjid area of the Agency.,0,0,0,Nato Attack,2011,9_1_2011
January-17,Khyber Agency,"TTP attacked a NATO oil tanker with a remote control bomb near Ali Masjid area in Landikotal tehsil of Khyber Agency, destroying it completely.",0,0,0,Nato Attack,2011,1_1_2011
May-17,Kurram Agency,One person lost his life while three others sustained injuries in a terrorist attack at a school ground when a football match was going on in Alizai area of Kurram Agency in FATA. Security Forces sprung to action and killed one suicide bomber while another bomber blew himself up.,3,0,2,bomb attack,2015,5_1_2015
May-17,Kurram Agency,One person lost his life while three others sustained injuries in a terrorist attack at a school ground when a football match was going on in Alizai area of Kurram Agency in FATA. Security Forces sprung to action and killed one suicide bomber while another bomber blew himself up. Where the incident happened is a Shia-dominated area.,3,0,2,secretarian shia attack,2015,5_1_2015
January-17,NWA,A US drone strike at Wacha Basti village near Alwara Mandi in Dattakhel of NWA in FATA killed eight militants and injured two others.,8,0,2,Drone Attack,2015,1_1_2015
August-17,Bajour Agency,"At least three people including two tribal elders, identified as Malik Dawakhana and Haji Kareem were killed and two others injured in an IED blast in the Arang area of Bajaur Agency in FATA.",2,0,0,Tribal Area Attack,2015,8_1_2015
May-17,Bajour Agency,"Taliban (TTP) militants armed with rockets and grenades stormed the home of a pro-Government tribal elder, killing him, his wife and son before blowing up the house in Asghar village, about 40 kilometres northwest of Khar, the main town in Bajaur Agency.",1,0,0,Tribal Area Attack,2010,5_1_2010
March-17,PoK,An explosion occurred on early morning at a shrine located in an isolated graveyard in Athmaqam area of Neelum Valley District in PoK.,0,0,0,secretarian shia attack,2016,3_1_2016
July-17,FATA,Unidentified assailants shot dead a pro-government tribal elder at Badan area in Mamond tehsil in Bajaur Agency of FATA.,1,0,0,Tribal Area Attack,2013,7_2_2013
May-17,KP,Unidentified militants blew up a Shia mosque in an Imambargah (Shia place of commemoration) of Hazrat Ali in Bafa village of Mansehra District.,0,0,0,Mosque,2014,5_1_2014
May-17,KP,Unidentified militants blew up a Shia mosque in an Imambargah (Shia place of commemoration) of Hazrat Ali in Bafa village of Mansehra District.,0,0,0,secretarian shia attack,2013,5_1_2013
April-17,Khuzdar,"A NATO container driver, identified as Sahib Dad, was killed by unidentified militants in Baghbana of Khuzdar District.",1,0,0,Nato Attack,2011,4_1_2011
August-17,Khuzdar,"A helper of a NATO container, carrying logistic supplies for NATO forces in Afghanistan, was killed and the driver injured in an attack on the National Highway in Baghbana tehsil area of Khuzdar District.",1,0,1,Nato Attack,2010,8_1_2010
October-17,Khuzdar,The driver and a cleaner of NATO supply tanker were burnt to death when unidentified assailants set the tanker on fire in Baghbana area of Khuzdar District in Balochistan.,2,0,0,Nato Attack,2010,10_1_2010
October-17,Khuzdar,"Unidentified militants, riding on a motorbike, shot at and injured the driver and set ablaze two NATO vehicles, carrying supplies for troops in Afghanistan, at Baghbana town of Khuzdar District.",0,0,1,Nato Attack,2010,10_1_2010
October-17,Khuzdar,"The driver of a tanker, carrying supplies for NATO troops in Afghanistan, was killed and a 12 years old boy injured when unidentified militants opened fire in Baghbana area of Khuzdar District in Balochistan.",1,0,1,Nato Attack,2010,10_1_2010
August-17,FA,"Unidentified assailants killed a tribal elder, identified as Ajab Khan, at Damadola area of Mamond tehsil of Bajaur Agency in FATA",1,0,0,Tribal Area Attack,2013,8_1_2013
August-17,Balochistan,"A terror bid was foiled when an eight kilogram of bomb was defused at Bakhtiarabad area of Lehri District in Balochistan. However, the railway track was damaged.",0,0,0,railway,2016,8_1_2016
February-17,Sibi,Unidentified militants blew up a railway track in the Bakhtiarabad area of Sibi District in Balochistan.,0,0,0,railway,2015,2_1_2015
October-17,Sibi,One NATO oil tanker carrying oil for NATO forces stationed in Afghanistan was completely destroyed when it caught fire due to two explosions at Bakhtiarabad Oil Terminal in Bakhtiarabad area of Sibi District in Balochistan.,0,0,0,Nato Attack,2011,10_1_2011
October-17,KP,"A pro-government tribal elder, Malik Sayed Ali Wazir, was killed and his son was wounded when a roadside bomb hit their vehicle in the Bakkakhel town of Bannu District in KP.",1,0,1,Tribal Area Attack,2015,10_1_2015
May-17,FATA,"Six people, including a pro-government tribal elder, identified as Malak Muhammad Jan, was killed in a remote-controlled IED blast in Bar Kamar area of Mamond tehsil in Bajaur Agency of FATA.",1,0,0,Tribal Area Attack,2015,5_1_2015
October-17,NWA,At least eight militants were killed and four others were injured in a US drone strike in Bari Mail area of Shawal Valley in North Waziristan Agency of FATA.,8,0,4,Drone Attack,2014,10_1_2014
October-17,FATA,Unidentified militants killed three anti-Taliban tribal elders tasked with protecting their areas from insurgents in the Bazai area of Mohmand Agency.,3,0,0,Tribal Area Attack,2010,10_1_2010
January-17,Sindh,"The driver of a NATO oil tanker, Syed Nabi Shah, was shot dead by unidentified assailants riding on motorcycles at Bhirya on the Indus Highway in Sukkur town (Sukkur District) of Sindh.",1,0,0,Nato Attack,2014,1_1_2014
October-17,Bolan,"Two coordinated blasts targeting railway tracks hit near the Rawalpindi-bound Jaffar Express, in the Ab-e-Gum area of the Bolan District in Balochistan, killing at least six people and leaving another 18 injured.",6,0,18,railway,2016,10_1_2016
September-17,Bolan,Unidentified militants blew up a railway track in the Bala Nari area of Bolan District in Balochistan.,0,0,0,railway,2014,9_1_2014
October-17,Bolan,At least 12 people were killed while 21 others received injuries when a blast ripped through an Imambargah in Bhaag area of Bolan District in Balochistan.,12,0,21,Mosque,2015,10_1_2015
October-17,Bolan,At least 12 people were killed while 21 others received injuries when a blast ripped through an Imambargah in Bhaag area of Bolan District in Balochistan.,12,0,21,secretarian shia attack,2015,10_1_2015
October-17,Bolan,"A tribal chief, identified as Sardar Wakeel Ahmed Buledi and his brother, Bahadur Ali Buledi were killed by unidentified gunmen in the Bhag area of Bolan District in Balochistan.",1,0,0,Tribal Area Attack,2016,10_1_2016
March-17,Bolan,Two passengers of the Akbar Bugti Express were killed and 10 others were injured when unidentified armed assailants attacked the train with two rockets in the Bolan District of Balochistan.,2,0,10,railway,2014,3_1_2014
November-17,Bolan,Militants had set ablaze two NATO oil tankers in Bolan District of Balochistan and also injured one of the drivers of the vehicle.,0,0,1,Nato Attack,2013,11_1_2013
December-17,Bolan,Two drivers of NATO containers were injured when armed militants torched two tankers carrying fuel for US and NATO troops in Haji Shehar area of Bolan District in Balochistan. No outfit claimed responsibility for the attack.,0,0,2,Nato Attack,2013,12_1_2013
November-17,Bolan,Militants had set ablaze two NATO oil tankers in Bolan District of Balochistan and also injured one of the drivers of the vehicle.,0,0,1,Nato Attack,2013,11_1_2013
December-17,Bolan,Two drivers of NATO containers were injured when armed militants torched two tankers carrying fuel for US and NATO troops in Haji Shehar area of Bolan District in Balochistan. No outfit claimed responsibility for the attack.,0,0,2,Nato Attack,2013,12_1_2013
September-17,Bolan,"Unidentified armed militants attacked two oil tankers supplying fuel to NATO forces in Afghanistan and torched them in Dhadar area of Bolan District, injuring the driver of the container.",0,0,1,Nato Attack,2012,9_1_2012
October-17,Bolan,Unidentified armed militants set ablaze two NATO oil tankers on the National Highway near Bala Nari area of Bolan District in Balochistan.,0,0,0,Nato Attack,2011,10_1_2011
March-17,Bolan,The driver of NATO oil container was killed and his companion was injured when unidentified militants set ablaze the tanker in Bypass area of Dhadar tehsil in Bolan District of Balochistan.,1,0,1,Nato Attack,2014,3_1_2014
July-17,Bolan,Unidentified militants attacked two NATO containers with heavy artillery in Dhadar town of Bolan District.,0,0,0,Nato Attack,2013,7_1_2013
July-17,Bolan,"Militants set ablaze a NATO container in the Dhadar area of Bolan District while it was on its way back from Afghanistan after supplying equipment to NATO troops. However, no casualty was reported.",0,0,0,Nato Attack,2013,7_1_2013
July-17,Bolan,Unidentified militants attacked two NATO containers with heavy artillery in Dhadar town of Bolan District.,0,0,0,Nato Attack,2013,7_1_2013
July-17,Bolan,"Militants set ablaze a NATO container in the Dhadar area of Bolan District while it was on its way back from Afghanistan after supplying equipment to NATO troops. However, no casualty was reported.",0,0,0,Nato Attack,2013,7_1_2013
December-17,Bolan,A driver was killed and nine NATO oil tankers parked outside a hotel on the outskirts of Dhadar town in the Bolan District.,1,0,0,Nato Attack,2011,12_1_2011
November-17,Bolan,Unidentified militants set ablaze two NATO oil tankers in the Dhadar area of Bolan District in Balochistan.,0,0,0,Nato Attack,2010,11_1_2010
December-17,Bolan,One driver was killed when unidentified assailants attacked two tankers carrying fuel for NATO forces in Afghanistan near Dhadar in Bolan District of Balochistan.,1,0,0,Nato Attack,2010,12_1_2010
February-17,Bolan,Unidentified militants set ablaze two NATO oil tankers in Dhaddar area of Bolan District.,0,0,0,Nato Attack,2011,2_1_2011
April-17,Bolan,Two NATO oil tankers transporting fuel for NATO troops stationed in Afghanistan came under fire by unidentified gunmen on the National Highway in Dhaddar area of Bolan District.,0,0,0,Nato Attack,2011,4_1_2011
June-17,Bolan,"Two persons, including one driver Altaf Shah and one cleaner Adil Shah of a NATO oil tanker, were shot dead by unidentified militants while carrying fuel for the NATO forces stationed in Afghanistan in Dhaddar area of Bolan District.",2,0,0,Nato Attack,2011,6_1_2011
March-17,Bolan,Two NATO oil tankers were torched by unidentified militants in the Karta area of Mach town in Bolan District.,0,0,1,Nato Attack,2011,3_1_2011
June-17,Bolan,"Unidentified militants blew up a portion of the railway track, a two-feet portion of the track, in an IED attack in Kolpur area of Bakhtiarabad in Bolan District of Balochistan.",0,0,0,railway,2016,6_1_2016
November-17,Bolan,"An oil tanker, carrying fuel for the NATO forces stationed in Afghanistan, was set ablaze by unidentified militants near Kundlani Bridge in Bolan District of Balochistan.",0,0,0,Nato Attack,2010,11_1_2010
June-17,Bolan,Two NATO oil tankers carrying logistics for the NATO forces in Afghanistan were set ablaze by unidentified militants near Mach area of Bolan District.,0,0,0,Nato Attack,2011,6_1_2011
October-17,Bolan,Unidentified armed militants abducted the driver and the cleaner of an oil tanker carrying supply for NATO troops in Afghanistan from Karachi to Quetta near Mach area of Bolan District.,0,0,0,Nato Attack,2011,10_1_2011
July-17,Bolan,"Unidentified militants opened fire on four NATO-supply containers in Mach locality of Bolan tehsil in Quetta of Balochistan in the night, setting them ablaze.",0,0,0,Nato Attack,2010,7_1_2010
October-17,Bolan,"At least eight people, including two tribal elders and six of their gunmen, were killed in an Improvised Explosive Device blast in the Marwar area of Bolan District in Balochistan.",8,0,0,Tribal Area Attack,2015,10_1_2015
December-17,Bolan,Unidentified militants blew up a railway track in an IED attack in Mashkaf area of Bolan District in Balochistan.,0,0,0,railway,2014,12_1_2014
August-17,Bolan,Two NATO oil tankers were set on fire by unidentified armed persons in Mithri area of Bolan District in Balochistan.,0,0,0,Nato Attack,2011,8_1_2011
October-17,Bolan,Unidentified militants set ablaze nearly 30 tankers carrying fuel for NATO troops in Afghanistan at the Mithri area of the Bolan District in Balochistan in the wee hour.,0,0,0,Nato Attack,2010,10_1_2010
April-17,Bolan,"Five NATO containers were set ablaze on the National Highway near Kambari bridge area of Bolan District. Bolan Deputy Commissioner Sayeed Waheed Shah said that a convoy of 40 NATO containers was en route to Karachi (Karachi District), the provincial capital of Sindh from Chaman area of Qilla Abdullah District when unidentified assailants on two motorcycles opened indiscriminate fire on it.",0,0,0,Nato Attack,2013,4_1_2013
April-17,Bolan,"Five NATO containers were set ablaze on the National Highway near Kambari bridge area of Bolan District. Bolan Deputy Commissioner Sayeed Waheed Shah said that a convoy of 40 NATO containers was en route to Karachi (Karachi District), the provincial capital of Sindh from Chaman area of Qilla Abdullah District when unidentified assailants on two motorcycles opened indiscriminate fire on it.",0,0,0,Nato Attack,2013,4_1_2013
January-17,Bolan,"Unidentified militants set ablaze two oil tankers, carrying fuel for NATO forces stationed in Afghanistan, in the Pinjra Pul area in Dhaddar town of Bolan District in Balochistan.",0,0,0,Nato Attack,2011,1_1_2011
December-17,Bolan,Unidentified militants set ablaze a NATO oil tanker and shot and injured driver and the cleaner near Pinjra Pul area in Mach town of the Bolan District.,0,0,2,Nato Attack,2010,12_1_2010
June-17,Bolan,Two NATO oil tankers carrying fuel for the NATO forces stationed in Afghanistan were set on fire and a driver injured while on their way from Karachi to Kandahar by unidentified militants near Qamabari bridge area of Dhadar in Bolan District.,0,0,1,Nato Attack,2011,6_1_2011
April-17,Bolan,Two NATO oil tankers were set on fire by unidentified terrorists near the Qamabari Bridge in Dhaddar of Bolan District.,0,0,0,Nato Attack,2011,4_1_2011
December-17,Bolan,The driver of a container carrying supplies for NATO forces in Afghanistan was seriously injured when armed assailants attacked him at Quetta-Chaman national highway in Dhadar town of Bolan District.,0,0,1,Nato Attack,2012,12_1_2012
December-17,Kohat,Unidentified assailants shot dead a tribal elder of Orakzai Agency (FATA) in Bosti Banda area of Kohat District in Khyber Pakhtunkhwa.,1,0,0,Tribal Area Attack,2011,12_28_2011
June-17,NWA,At least three Paramilitary soldiers and a child were killed and many others injured in a suicide attack near Boya checkpost on Datta Khel road in NWA of FATA.,5,0,0,bomb attack,2014,6_1_2014
July-17,Khuram Agency,"Terrorists killed a pro-government tribal chief, Malik Abdul Wazah Khan, in the area of Buggan in Parachinar of Kurram Agency.",1,0,0,Tribal Area Attack,2012,7_7_2012
April-17,Mardan,"At least two people, including suicide bomber, was killed and 18 others were injured in a suicide attack in the Mardan Excise and Taxation Department located in Cantonment Area on Mall Road in Mardan District of KP.",2,0,18,bomb attack,2016,4_1_2016
January-17,Zhob,Six soldiers of Pakistan Army and a child were injured as a suicide bomber blew himself near Cantt area of Zhob District in Balochistan.,0,0,7,bomb attack,2016,1_1_2016
